Book,Decade
The Catcher in the Rye by J. D. Salinger,2010-2019
The Color Purple by Alice Walker,2010-2019
The Curious Incident of the Dog in the Night-Time by Mark Haddon,2010-2019
The Holy Bible,2010-2019
This Book is Gay by Juno Dawson,2010-2019
Eleanor & Park by Rainbow Rowell,2010-2019
Extremely Loud & Incredibly Close by Jonathan Safran Foer,2010-2019
Gossip Girl (series) by Cecily von Ziegesar,2010-2019
House of Night (series) by P.C. Cast,2010-2019
My Mom's Having A Baby by Dori Hillestad Butler,2010-2019
Neonomicon by Alan Moore,2010-2019
The Dirty Cowboy by Amy Timberlake,2010-2019
The Giver by Lois Lowry,2010-2019
Anne Frank: Diary of a Young Girl by Anne Frank,2010-2019
"Bless Me, Ultima by Rudolfo Anaya",2010-2019
Draw Me a Star by Eric Carle,2010-2019
Dreaming In Cuban by Cristina Garcia,2010-2019
Fade by Lisa McMann,2010-2019
The Family Book by Todd Parr,2010-2019
Feed by M.T. Anderson,2010-2019
Go the Fuck to Sleep by Adam Mansbach,2010-2019
Habibi by Craig Thompson,2010-2019
House of the Spirits by Isabel Allende,2010-2019
Jacob's New Dress by Sarah Hoffman,2010-2019
Lolita by Vladimir Nabokov,2010-2019
Monster by Walter Dean Myers,2010-2019
Nasreen’s Secret School by Jeanette Winter,2010-2019
Saga by Brian K. Vaughan,2010-2019
Stuck in the Middle by Ariel Schrag,2010-2019
The Kingdom of Little Wounds by Susann Cokal,2010-2019
1984 by George Orwell,2010-2019
A Clockwork Orange by Anthony Burgess,2010-2019
Almost Perfect by Brian Katcher,2010-2019
Awakening by Kate Chopin,2010-2019
Burned by Ellen Hopkins,2010-2019
Ender's Game by Orson Scott Card,2010-2019
Fallen Angels by Walter Dean Myers,2010-2019
Glass by Ellen Hopkins,2010-2019
Heather Has Two Mommies by Lesle´a Newman,2010-2019
I Know Why the Caged Bird Sings by Maya Angelou,2010-2019
Madeline and the Gypsies by Ludwig Bemelmans,2010-2019
My Princess Boy by Cheryl Kilodavis,2010-2019
Prince and Knight by Daniel Haack,2010-2019
Revolutionary Voices: A Multicultural Queer Youth Anthology by Amy Sonnie,2010-2019
Skippyjon Jones (series) by Judith Schachner,2010-2019
So Far from the Bamboo Grove by Yoko Kawashima Watkins,2010-2019
The Color of Earth (series) by Tong-hwa Kim,2010-2019
The Librarian of Basra by Jeanette Winter,2010-2019
The Walking Dead (series) by Robert Kirkman,2010-2019
Tricks by Ellen Hopkins,2010-2019
Uncle Bobby’s Wedding by Sarah S Brannen,2010-2019
Year of Wonders by Geraldine Brooks,2010-2019
