Author,Secondary Author(s),Illustrators,Translators,Book,clustered_book,School District,Missouri,IN P DOC,Date,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",,,,Milk and Honey,Dreaming in Cuban,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"García, Cristina",,,,Dreaming in Cuban,Fallout,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Fallout,I Am Not Your Perfect Mexican Daughter,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sánchez, Erika L.",,,,I Am Not Your Perfect Mexican Daughter,Loving Frank: A Novel,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Horan, Nancy",,,,Loving Frank: A Novel,Man o' War,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCarthy, Cory",,,,Man o' War,Neanderthal Opens the Door to the Universe,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",,,,Neanderthal Opens the Door to the Universe,Nineteen Minutes,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Picoult, Jodi",,,,Nineteen Minutes,Oryx & Crake,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,Oryx & Crake,Private Label,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yang, Kelly",,,,Private Label,Snow Flower and the Secret Fan: A Novel,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"See, Lisa",,,,Snow Flower and the Secret Fan: A Novel,The Carnival at Bray,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Foley, Jessie Ann",,,,The Carnival at Bray,The Handmaid's Tale: The Graphic Novel,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,The Handmaid's Tale,The Handmaid's Tale: The Graphic Novel,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,The Handmaid's Tale: The Graphic Novel,The Cost of Knowing,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saunders, Barbara",,,,The Cost of Knowing,The Haters,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,FURTHER RESEARCH NEEDED - is this brittany morris' book?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andrews, Jesse",,,,The Haters,Acceptance,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nietfeld, Emi",,,,Acceptance,Damsel,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,Damsel,Forever...,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blume, Judy",,,,Forever...,Looking for Alaska,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, John",,,,Looking for Alaska,Lucky,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seabold, Alice",,,,Lucky,Out of Darkness,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Perez, Ashley Hope",,,,Out of Darkness,People Kill People,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,People Kill People,Push,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sapphire,,,,Push,Red Hood,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,Red Hood,Shine,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Myracle, Lauren",,,,Shine,Sold,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"McCormick, Patricia",,,,Sold,The Art of Racing in the Rain,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Stein, Garth",,,,The Art of Racing in the Rain,The Bluest Eye,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morrison, Toni",,,,The Bluest Eye,The Perks of Being a Wallflower,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chbosky, Stephen",,,,The Perks of Being a Wallflower,This Book Is Gay,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dawson, Juno",,,,This Book Is Gay,Tilt,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Tilt,Triangles,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Triangles,Tricks,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hopkins, Ellen",,,,Tricks,What Girls Are Made Of,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arnold, Elana K.",,,,What Girls Are Made Of,Where I End and You Begin,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Norton, Preston",,,,Where I End and You Begin,Catch 22,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Heller, Joseph",,,,Catch 22,Gender Queer,Washington County School District,Utah,Yes,November 2022,,https://www.stgeorgeutah.com/news/archive/2022/12/07/nky-washington-county-school-district-removes-14-more-books-from-libraries/#.Y5JvlnbMJD8,Banned,FURTHER RESEARCH NEEDED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer,Zahra's Paradise,Washingtonville Central School District,New York,yes,September 2022,Parents complained about the impact of GEnder queer - said it was too explicit. ,"Washingtonville Central School District Superintendent Larry Washington issued a statement to News 12 Thursday, saying due to parent concerns, the book has been removed from the high school’s general library shelves to behind the librarian‘s desk, where the book is available to students upon request.",Retained - Restricted,"Washingtonville parents call for book on gender, sexuality to be banned from high school for explicit images",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amir,,,,Zahra's Paradise,The Handmaid's Tale: The Graphic Novel,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,The Handmaid's Tale: The Graphic Novel,Flamer,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Curato, Mike",,,,Flamer,Lighter Than My Shadow,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Green, Katie",,,,Lighter Than My Shadow,Milk and Honey,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",,,,Milk and Honey,The Sun and Her Flowers,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, Rupi",,,,The Sun and Her Flowers,Gender Queer,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kobabe, Maia",,,,Gender Queer: A Memoir,Watchmen,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moore, Alan",,,,Watchmen,Home After Dark,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Small, David",,,,Home After Dark,"Be Gay, Do Comics",Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nib,,,,"Be Gay, Do Comics: Queer History, Memoir, and Satire",Breakfast of Champions: A Novel,Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vonnegut, Kurt",,,,Breakfast of Champions: A Novel,Hitler's Final Solution (Understanding the Holocaust),Webster Groves School District,Missouri,yes,September 2022,Response to Law,,Banned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allen, John",,,,Hitler's Final Solution (Understanding the Holocaust),Giant Days Vol. 1,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allison, John",,,,Giant Days Vol. 1,Giant Days: Not On the Test Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allison, John",,,,Giant Days: Not On the Test Edition Vol. 1 - Fall Semester,Giant Days: Not On the Test Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Allison, John",,,,Giant Days: Not On the Test Edition Vol. 2 - Winter Semester,Speak: The Graphic Novel,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anderson, Laurie Halse",,,,Speak: The Graphic Novel,The Handmaid's Tale: The Graphic Novel,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Atwood, Margaret",,,,The Handmaid's Tale: The Graphic Novel,History of Western Art in Comics Part One: From Prehistory to the Renaissance,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Augustin, Marion",,,,History of Western Art in Comics Part One: From Prehistory to the Renaissance,Epileptic,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"B., David",,,,Epileptic,Brazen: Rebel Ladies Who Rocked the World,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bagieu, Pénélope",,,,Brazen: Rebel Ladies Who Rocked the World,Himawari House,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Becker, Harmony",,,,Himawari House,Mirror of the World: A New History of Art,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bell, Julian",,,,Mirror of the World: A New History of Art,Horde,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bennett, Marguerite",,,,Horde,Edward Hopper: A Modern Master,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Berkow, Ita G.",,,,Edward Hopper: A Modern Master,Pablo: Art Masters Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Birmant, Julie",,,,Pablo: Art Masters Series,Holocaust Camps and Killing Centers (Understanding the Holocaust),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blohm, Craig E.",,,,Holocaust Camps and Killing Centers (Understanding the Holocaust),Holocaust Rescue and Liberation (Understanding the Holocaust),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blohm, Craig E.",,,,Holocaust Rescue and Liberation (Understanding the Holocaust),Holocaust Resistance (Understanding the Holocaust),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Blohm, Craig E.",,,,Holocaust Resistance (Understanding the Holocaust),Penultimate Quest,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Lars",,,,Penultimate Quest,Pierce Brown's Red Rising: Sons of Ares - An Original Graphic Novel,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Brown, Pierce",,,,Pierce Brown's Red Rising: Sons of Ares - An Original Graphic Novel,The Hill,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bryan, Ali",,,,The Hill,Art: A World History,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buchholz, Elke Linda",,,,Art: A World History,The Best We Could Do: An Illustrated Memoir,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bui, Thi",,,,The Best We Could Do: An Illustrated Memoir,Bone Parish Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bunn, Cullen",,,,Bone Parish: Volume 1 (Bone Parish Series),Bone Parish Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bunn, Cullen",,,,Bone Parish: Volume 2 (Bone Parish Series),Bone Parish Series,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bunn, Cullen",,,,Bone Parish: Volume 3 (Bone Parish Series),How to Be Ace: A Memoir of Growing Up Asexual,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burgess, Rebecca",,,,How to Be Ace: A Memoir of Growing Up Asexual,Medusa,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Burton, Jessie",,,,Medusa,Kindred: A Graphic Novel Adaptation,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Butler, Octavia E.",,,,Kindred: A Graphic Novel Adaptation,The Essential Hieronymus Bosch,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Campbell, W. John",,,,The Essential Hieronymus Bosch,X-Men: Age of X,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carey, Mike",,,,X-Men: Age of X,The Hunting Accident: A True Story of Crime and Poetry,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carlson, David L.",,,,The Hunting Accident: A True Story of Crime and Poetry,Super Sisters (The Sisters),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cazenove, Christopher",,,,Super Sisters (The Sisters),Art That Changed the World,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chilvers, Ian",,,,Art That Changed the World,Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chinn, Mike",,,,Writing and Illustrating the Graphic Novel: Everything You Need to Know to Create Great Graphic Works,Why Comics?: From Underground to Everywhere,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chute, Hillary",,,,Why Comics?: From Underground to Everywhere,Joe Hill's The Cape: 1969,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciaramella, Jason",,,,Joe Hill's The Cape: 1969,Patience,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Clowes, Daniel",,,,Patience,"Scenic Art for the Theatre: History, Tools and Techniques",Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crabtree, Susan",,,,"Scenic Art for the Theatre: History, Tools and Techniques",My Last Summer with Cass,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Crilley, Mark",,,,My Last Summer with Cass,Art (Annotated Guides),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cumming, Robert",,,,Art (Annotated Guides),King of King Court,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dandro, Travis",,,,King of King Court,Don't Know Much About Mythology: Everything You Need to Know About the Greatest Stories in Human History but Never Learned (Don't Know Much About Series),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davis, Kenneth C.",,,,Don't Know Much About Mythology: Everything You Need to Know About the Greatest Stories in Human History but Never Learned (Don't Know Much About Series),A Story about Cancer with a Happy Ending,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Desjardins, India",,,,A Story about Cancer with a Happy Ending,Woman World,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dhaliwal, Aminder",,,,Woman World,Michelangelo: Master of the Italian Renaissance,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Di Cagno, Gabriella",,,,Michelangelo: Master of the Italian Renaissance,Raphael: School of Athens,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dolcetta, Marco",,,,Raphael: School of Athens,Flawed,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dorfman, Andrea",,,,Flawed,Beasts of Burden: Animal Rites (Beasts of Burden),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dorkin, Evan",,,,Beasts of Burden: Animal Rites (Beasts of Burden),Full Bloom: The Art and Life of Georgia O' Keefe,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drohojowska-Philip, Hunter",,,,Full Bloom: The Art and Life of Georgia O' Keefe,Parenthesis,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Durand, Elodie",,,,Parenthesis,Kingdom of the Wicked,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Edginton, Ian",,,,Kingdom of the Wicked,Girl Talk: The Ultimate Body & Puberty Book for Girls,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Editors of Cider Mill Press,,,,Girl Talk: The Ultimate Body & Puberty Book for Girls,Graphic Design: A New History,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eskilson, Stephen J.",,,,Graphic Design: A New History,The Renaissance (Odysseys in Art),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fitzpatrick, Anne",,,,The Renaissance (Odysseys in Art),The Apparatus of Death - The Third Reich,Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flaherty, Thomas",,,,The Apparatus of Death - The Third Reich,The History of Western Painting (Britannica Guide to the Visual and Performing Arts),Wentzville School District,Missouri,yes,September 2022,Response to Law,,Removed from Shelves - While Under Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
