,Author
"Duyvis, Corinne",1
"Eagan, Andrea Boroff",1
"Efaw, Amy",1
"Ellis, Deborah",1
"Cassedy, Patrice",1
"Carter, Caela",1
Lauri S. Scherer,1
"Atta, Dean",1
"Atwood, Megan",1
Auriana Ojeda,1
"Bach, Mette",1
"Bailey, Jacqui.",1
"Baldacchino, Christine",1
"Baldwin, Kim",1
"Baratz-Logsted, Lauren",1
"Bartoletti, Susan Campbell",1
"Barzak, Christopher",1
"Bass, Ellen",1
"Bayron, Kalynn",1
"Bean, Lexie",1
"Beckman, Wendy Hart",1
"Bell, Alex",1
"Bell, Eric",1
"Atwood, Margaret",1
"Arnold, Elana K.",1
"Benincasa, Sara",1
"Apelqvist, Eva",1
"Abrahams, George",1
"Agell, Charlotte",1
"Ahmadi, Arvin",1
"Ahmed, Sara",1
Al Desetta,1
"Alexander, Michelle",1
"Alsenas, Linas",1
"Altman, Linda Jacobs",1
"Alvarez, Alex",1
"Ameiss, Bill",1
Amnesty International,1
"Anderson, Laurie Halse",1
"Andrews, Arin",1
"Andrews, Jesse",1
Annie Harper,1
"Bell, Ruth",1
"Bennett, Michae",1
"Cart, Michael",1
"Brewer, Z",1
"Bridges, Ruby",1
"Brooks, Kevin",1
"Brown, Laurene Krasny",1
"Brown, Savannah",1
"Brugman, Alyssa",1
"Buckhanon, Kalisha",1
"Buckingham, Robert W.",1
"Bull, David",1
"Bunker, Lisa",1
"Burch, Christian",1
"Burd, Nick",1
"Callender, Kheryn",1
"Cannadine, David",1
"Capetta, Amy Rose",1
"Carlton, Susan R.",1
"Brezina, Corona",1
"Brennan, Sarah Rees",1
"Benson, Michael D.",1
Brenda Stalcup,1
"Benwell, Fox",1
"Bertie, Alex",1
Betsy Franco,1
"Bick, Ilsa J.",1
"Birdsall, Bridget",1
"Bjorkman, Lauren",1
"Blackall, Sophie",1
"Blake, Ashley Herrin",1
"Block, Francesca Lia",1
"Blumenthal, Karen",1
"Bode, Janet",1
"Boyd, George A.",1
"Boyd, Maria",1
"Bradshaw, Cheryl M.",1
"Brandon, James",1
"Forssberg, Manne",1
"Fowley-Doyle, Moïra",1
"Fox, Paula",1
"Jacobs, Evan",1
Jacqueline L. Longe,1
James A. Banks,1
"James, Rory",1
"Jamiolkowski, Raymond M.",1
Jennifer A. Hurley,1
Jennifer L. Armentrout,1
"Jennings, Jazz.",1
"Jewell, Tiffany",1
"Johnson, Cathy G.",1
"Johnson, Kathleen Jeffrie",1
"Johnson, Maureen",1
"Johnson, Varian",1
"Jones, Carrie",1
"Jones, Patrick",1
"Juby, Susan",1
"Jacobson, Jennifer",1
"Irving, John",1
"Jussim, Daniel",1
"Irvine, Janice M.",1
Hope Nicholson,1
"Hopkins, Ellen",1
"Horner, Emily",1
"Howe, James",1
"Hrdlitschka, Shelley",1
"Huegel, Kelly",1
"Hughes, Susan",1
"Hughes, Tracy",1
"Hunter, Miranda",1
"Hurwin, Davida",1
"Hyde, Catherine Ryan",1
"Hyde, Margaret O.",1
"Hyde, Natalie",1
"Hyman, Miles",1
Ilan Stavans,1
"Juettner, Bonnie",1
Justin Karr,1
"Franklin, Emily",1
"Kingston, Anna",1
"Klein, Rebecca T.",1
"Klise, James",1
"Klobuchar, Amy",1
"Kluger, Steve",1
"Kobabe, Maia",1
"Koenig, Andrea",1
"Koertge, Ronald",1
"Kuklin, Susan",1
"Labelle, Sophie",1
"Ladner, Joyce A",1
"Lange, Donna",1
"Larimore, Walter L.",1
"LaRochelle, David",1
"Lassieur, Allison",1
"Lauren, Christina",1
"Klehr, Dawn",1
"King, Shani M.",1
"Kahaner, Ellen",1
"King, A. S.",1
"Kann, Claire",1
"Karcz, Lauren",1
"Karre, Elizabeth",1
"Katcher, Brian",1
"Keil, Melissa",1
Ken R. Wells,1
"Kendall, Mikki",1
"Kergil, Skylar",1
"Kern, Peggy",1
"Kessler, Liz",1
"Ketchum, Liza",1
"Keyser, Amber",1
"Aaseng, Nathan",1
"Khan, Sabina",1
"Khorram, Adib",1
"Hoole, Elissa Janine",1
"Homes, A. M.",1
"Holt, K. A.",1
"Girard, M-E.",1
"Goldman, Steven",1
"Gonzales, S.",1
"Gonzalez, Maya Christina",1
"Gonzalez, Rigoberto",1
"Goode, L.",1
"Goodman, Ellen",1
"Gorney, Cynthia",1
"Grace, Amanda",1
"Gramont, Nina de",1
"Green, John",1
"Greene, Bette",1
"Greenman, Catherine",1
"Gregorio, I. W.",1
"Grehan, Meg",1
"Grimes, Nikki",1
"Glassman, Bruce",1
"Gillman, Melanie",1
"Holmes, Melisa",1
"Gibson, Heath",1
"Freeman, Shannon",1
"Freymann-Weyr, Garret",1
"Frick, Kit",1
"Gabriel, Dani",1
"Gailey, Sarah",1
"Gale, Heather",1
"Garber, Romina",1
"Garsee, Jeannine",1
"Gates, Henry Louis, Jr.",1
"Geerling, Marjetta",1
"Genhart, Michael",1
"Gennari, Jennifer",1
"George, Elizabeth",1
"George, Madeleine",1
"Gephart, Donna",1
"Gurian, Michael",1
"Gutting, Gary",1
"Haack, Daniel",1
"Hale, Samantha",1
"Heppermann, Christine",1
"Herman, Christine Lynn",1
"Herthel, Jessica",1
"Herzog, Brad",1
"Higgins, Melissa",1
"Hill, Katie Rain",1
"Hillstrom, Laurie Collier",1
"Hinebaugh, Olivia",1
"Hinton, Kerry",1
"Hirschmann, Kris",1
"Hitchcock, Shannon",1
"Hoblin, Paul",1
"Hocking, Amanda",1
"Hoffman, Eric",1
"Hollander, Barbara Gottfried",1
"Hennessey, M. G.",1
"Hendriks, Jenni",1
"Henderson, Elisabeth",1
"Harmon, Michael B.",1
"Hamen, Susan E.",1
"Hammerslough, Jane",1
"Hand, Carol",1
"Haney, Johannah",1
"Hanley, Tim",1
"Hardy, Mark",1
"Harris, Michael",1
"Helms, Rhonda",1
"Harrison, Rory",1
"Hashimi, Nadia",1
"Hasler, Nikol",1
"Hawkins, Rachel",1
"Heaney, Katie",1
"Helms, Antje",1
"Wyeth, Sharon Dennis",1
